,Unnamed: 0,game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB_batting,away_home_SO_batting,away_home_IBB,temp,condition,wind
636,627,745198,St. Louis Cardinals,Miami Marlins,Kyle Gibson,Max Meyer,10,3,4.24,80.0,91.0,151.0,68.0,2.22,1.35,5.68,36.0,38.0,46.0,19.0,2.42,1.421,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,63.0,Cloudy,"16 mph, R To L"
637,628,746895,Chicago Cubs,Los Angeles Dodgers,Shota Imanaga,Gavin Stone,1,8,2.91,56.0,66.0,174.0,28.0,6.21,1.021,3.53,55.0,55.0,116.0,37.0,3.14,1.211,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,47.0,Overcast,"8 mph, R To L"
638,629,746574,Colorado Rockies,Tampa Bay Rays,Dakota Hudson,Ryan Pepiot,3,2,6.17,61.0,66.0,49.0,50.0,0.98,1.674,3.6,52.0,58.0,142.0,48.0,2.96,1.154,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,52.0,Sunny,"14 mph, L To R"
639,630,745362,San Francisco Giants,San Diego Padres,Logan Webb,Matt Waldron,2,3,3.47,79.0,83.0,172.0,50.0,3.44,1.231,4.91,80.0,84.0,133.0,40.0,3.33,1.261,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,59.0,Partly Cloudy,"10 mph, Out To CF"
640,631,746251,Los Angeles Angels,Boston Red Sox,Chase Silseth,Tanner Houck,12,2,6.75,6.0,7.0,12.0,4.0,3.0,1.5,3.12,62.0,75.0,154.0,48.0,3.21,1.142,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,66.0,Partly Cloudy,"9 mph, Out To CF"
641,632,745032,Texas Rangers,Houston Astros,Dane Dunning,Ronel Blanco,3,1,5.31,56.0,60.0,91.0,40.0,2.28,1.442,2.8,52.0,56.0,166.0,68.0,2.44,1.088,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,79.0,Clear,"9 mph, Out To RF"
642,633,745927,Minnesota Twins,Cleveland Guardians,Bailey Ober,Triston McKenzie,0,0,3.98,79.0,81.0,191.0,43.0,4.44,1.002,5.11,43.0,46.0,74.0,49.0,1.51,1.559,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,67.0,Partly Cloudy,"13 mph, Out To RF"
643,633,745927,Minnesota Twins,Cleveland Guardians,Bailey Ober,Triston McKenzie,0,0,3.98,79.0,81.0,191.0,43.0,4.44,1.002,5.11,43.0,46.0,74.0,49.0,1.51,1.559,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,67.0,Partly Cloudy,"13 mph, Out To RF"
644,634,746654,Cleveland Guardians,Chicago White Sox,Triston McKenzie,Tanner Banks,0,4,5.11,43.0,46.0,74.0,49.0,1.51,1.559,3.98,32.0,41.0,78.0,25.0,3.12,1.3,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,63.0,Partly Cloudy,"3 mph, In From RF"
645,635,745761,New York Yankees,Miami Marlins,Nestor Cortes,Jesús Luzardo,0,7,3.77,73.0,74.0,162.0,39.0,4.15,1.153,5.0,37.0,37.0,58.0,22.0,2.64,1.245,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,60.0,Overcast,"7 mph, Out To LF"
646,636,745520,Pittsburgh Pirates,Detroit Tigers,Mitch Keller,Reese Olson,4,7,4.25,84.0,90.0,166.0,50.0,3.32,1.303,3.53,44.0,51.0,101.0,33.0,3.06,1.184,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,74.0,Cloudy,"10 mph, Out To CF"
647,637,746735,Cincinnati Reds,Milwaukee Brewers,Graham Ashcraft,Aaron Ashby,8,10,5.24,45.0,50.0,57.0,27.0,2.11,1.5,2.86,9.0,13.0,33.0,10.0,3.3,1.059,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,74.0,Cloudy,"6 mph, R To L"
648,638,744956,Toronto Blue Jays,Seattle Mariners,José Berríos,Luis Castillo,2,5,3.6,77.0,79.0,153.0,54.0,2.83,1.154,3.64,71.0,73.0,175.0,47.0,3.72,1.169,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,68.0,Roof Closed,"0 mph, None"
649,639,747142,Atlanta Braves,New York Mets,Charlie Morton,Julio Teheran,8,7,4.19,77.0,85.0,167.0,65.0,2.57,1.325,13.5,4.0,4.0,3.0,2.0,1.5,3.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,73.0,Cloudy,"9 mph, L To R"
650,640,745925,Minnesota Twins,Los Angeles Dodgers,Bailey Ober,James Paxton,4,2,3.98,79.0,81.0,191.0,43.0,4.44,1.002,4.4,49.0,53.0,73.0,50.0,1.46,1.445,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,49.0,Partly Cloudy,"9 mph, Out To CF"
651,641,745194,St. Louis Cardinals,Philadelphia Phillies,Miles Mikolas,Spencer Turnbull,5,3,5.35,102.0,106.0,122.0,25.0,4.88,1.276,2.65,16.0,17.0,58.0,20.0,2.9,1.049,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,76.0,Clear,"10 mph, Out To LF"
652,642,745034,Texas Rangers,Houston Astros,Andrew Heaney,Blair Henley,10,5,4.28,76.0,84.0,159.0,41.0,3.88,1.25,135.0,5.0,5.0,0.0,3.0,0.0,21.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,74.0,Roof Closed,"0 mph, Calm"
653,643,746569,Colorado Rockies,Arizona Diamondbacks,Kyle Freeland,Zac Gallen,5,7,5.24,66.0,73.0,85.0,26.0,3.27,1.412,3.65,60.0,62.0,156.0,54.0,2.89,1.264,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,57.0,Clear,"6 mph, Out To LF"
654,644,746252,Los Angeles Angels,Tampa Bay Rays,Tyler Anderson,Zach Eflin,1,7,3.81,76.0,83.0,142.0,73.0,1.95,1.288,3.59,66.0,71.0,134.0,24.0,5.58,1.149,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,70.0,Clear,"2 mph, Varies"
655,645,745432,San Diego Padres,Chicago Cubs,Yu Darvish,Javier Assad,8,9,3.31,30.0,32.0,78.0,22.0,3.55,1.065,3.73,61.0,64.0,124.0,63.0,1.97,1.401,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,61.0,Clear,"9 mph, L To R"
656,646,745363,San Francisco Giants,Washington Nationals,Blake Snell,Trevor Williams,8,1,3.12,36.0,38.0,145.0,44.0,3.3,1.048,2.03,15.0,17.0,59.0,18.0,3.28,1.035,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,62.0,Clear,"12 mph, Out To CF"
657,647,745517,Pittsburgh Pirates,Detroit Tigers,Martín Pérez,Casey Mize,5,3,4.53,68.0,71.0,107.0,49.0,2.18,1.481,4.49,51.0,57.0,78.0,29.0,2.69,1.466,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,72.0,Partly Cloudy,"9 mph, Out To LF"
658,648,746981,Boston Red Sox,Baltimore Orioles,Brayan Bello,Corbin Burnes,7,1,4.49,81.0,84.0,153.0,64.0,2.39,1.361,2.92,63.0,76.0,181.0,48.0,3.77,1.096,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,57.0,Sunny,"5 mph, Out To RF"
659,649,746653,Cleveland Guardians,Chicago White Sox,Logan Allen,Michael Soroka,7,5,5.73,62.0,63.0,79.0,41.0,1.93,1.582,4.74,42.0,49.0,84.0,44.0,1.91,1.381,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,75.0,Cloudy,"20 mph, L To R"
660,650,746732,Cincinnati Reds,Milwaukee Brewers,Frankie Montas,Joe Ross,9,5,4.84,81.0,89.0,148.0,66.0,2.24,1.367,3.77,31.0,35.0,66.0,29.0,2.28,1.365,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,63.0,Overcast,"10 mph, R To L"
661,651,745762,New York Yankees,Miami Marlins,Carlos Rodón,A.J. Puk,2,3,3.96,77.0,81.0,195.0,57.0,3.42,1.223,3.15,25.0,31.0,88.0,28.0,3.14,1.107,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,65.0,Partly Cloudy,"8 mph, R To L"
662,652,744957,Toronto Blue Jays,Seattle Mariners,Chris Bassitt,George Kirby,3,5,4.16,79.0,91.0,168.0,70.0,2.4,1.462,3.53,75.0,82.0,179.0,23.0,7.78,1.068,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,68.0,Roof Closed,"0 mph, None"
663,653,747138,Atlanta Braves,New York Mets,Reynaldo López,Adrian Houser,5,6,1.99,30.0,32.0,148.0,42.0,3.52,1.106,5.84,45.0,48.0,45.0,32.0,1.41,1.529,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,58.0,Drizzle,"10 mph, L To R"
664,654,746326,Kansas City Royals,Houston Astros,Cole Ragans,Cristian Javier,3,4,3.14,65.0,71.0,223.0,67.0,3.33,1.143,3.89,15.0,16.0,27.0,19.0,1.42,1.413,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,66.0,Clear,"7 mph, In From RF"
665,655,745924,Minnesota Twins,Los Angeles Dodgers,Louis Varland,Tyler Glasnow,6,3,7.61,42.0,44.0,49.0,16.0,3.06,1.691,3.49,52.0,53.0,168.0,35.0,4.8,0.948,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,60.0,Partly Cloudy,"11 mph, Out To CF"
666,656,745195,St. Louis Cardinals,Philadelphia Phillies,Sonny Gray,Zack Wheeler,0,3,3.84,71.0,79.0,203.0,39.0,5.21,1.088,2.57,57.0,62.0,224.0,52.0,4.31,0.955,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,68.0,Cloudy,"4 mph, In From LF"
667,657,745030,Texas Rangers,Oakland Athletics,Nathan Eovaldi,Alex Wood,4,3,3.8,72.0,74.0,166.0,42.0,3.95,1.107,5.26,23.0,27.0,33.0,19.0,1.74,1.78,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.301,0.393,196.0,3.97,493.0,1502.0,11.0,74.0,Roof Closed,"0 mph, None"
668,658,746571,Colorado Rockies,Arizona Diamondbacks,Cal Quantrill,Merrill Kelly,3,2,4.98,82.0,83.0,110.0,69.0,1.59,1.517,4.03,33.0,35.0,63.0,19.0,3.32,1.167,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,61.0,Partly Cloudy,"6 mph, In From LF"
669,659,746250,Los Angeles Angels,Tampa Bay Rays,Patrick Sandoval,Aaron Civale,6,4,5.08,45.0,49.0,81.0,35.0,2.31,1.506,4.36,78.0,82.0,149.0,52.0,2.87,1.304,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,77.0,Clear,"4 mph, R To L"
670,660,745357,San Francisco Giants,Washington Nationals,Kyle Harrison,Joan Adon,5,3,4.56,63.0,65.0,118.0,42.0,2.81,1.343,6.75,8.0,8.0,6.0,4.0,1.5,1.5,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,63.0,Clear,"12 mph, Out To CF"
671,661,745433,San Diego Padres,Chicago Cubs,Joe Musgrove,Ben Brown,5,1,3.88,43.0,44.0,101.0,23.0,4.39,1.174,3.58,22.0,22.0,64.0,19.0,3.37,1.084,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,68.0,Clear,"5 mph, L To R"
672,662,745923,Minnesota Twins,Los Angeles Dodgers,Chris Paddack,Bobby Miller,2,3,4.99,49.0,50.0,79.0,21.0,3.76,1.392,8.52,53.0,53.0,52.0,30.0,1.73,1.768,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,60.0,Sunny,"10 mph, R To L"
673,663,745196,St. Louis Cardinals,Philadelphia Phillies,Lance Lynn,Aaron Nola,4,3,3.84,50.0,64.0,109.0,44.0,2.48,1.338,3.57,79.0,84.0,197.0,50.0,3.94,1.199,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,57.0,Drizzle,"8 mph, L To R"
674,664,744950,Toronto Blue Jays,Seattle Mariners,Yusei Kikuchi,Logan Gilbert,6,1,4.05,79.0,85.0,206.0,44.0,4.68,1.201,3.23,75.0,83.0,220.0,37.0,5.95,0.887,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,68.0,Roof Closed,"0 mph, None"
675,665,746573,Colorado Rockies,Arizona Diamondbacks,Austin Gomber,Tommy Henry,5,3,4.75,87.0,89.0,116.0,38.0,3.05,1.309,7.04,30.0,31.0,30.0,18.0,1.67,1.748,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,56.0,Cloudy,"7 mph, In From CF"
676,666,745355,San Francisco Giants,Washington Nationals,Jordan Hicks,Patrick Corbin,1,7,4.1,50.0,54.0,96.0,47.0,2.04,1.45,5.62,109.0,114.0,139.0,54.0,2.57,1.5,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,65.0,Partly Cloudy,"5 mph, Out To CF"
677,667,746247,Los Angeles Angels,Tampa Bay Rays,José Soriano,Zack Littell,4,2,3.42,43.0,50.0,97.0,45.0,2.16,1.204,3.63,63.0,68.0,141.0,31.0,4.55,1.247,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,80.0,Sunny,"6 mph, Out To CF"
678,668,746655,Cleveland Guardians,Chicago White Sox,Tanner Bibee,Erick Fedde,6,7,3.47,67.0,70.0,187.0,44.0,4.25,1.117,3.3,65.0,66.0,154.0,52.0,2.96,1.162,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,55.0,Cloudy,"6 mph, In From RF"
679,669,745429,San Diego Padres,Chicago Cubs,Dylan Cease,Kyle Hendricks,2,10,3.47,73.0,80.0,224.0,65.0,3.45,1.067,5.92,86.0,88.0,87.0,43.0,2.02,1.454,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,71.0,Sunny,"8 mph, L To R"
680,670,746728,Cincinnati Reds,Milwaukee Brewers,Hunter Greene,Wade Miley,7,2,2.75,46.0,47.0,169.0,57.0,2.96,1.018,6.43,5.0,5.0,2.0,4.0,0.5,1.429,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,61.0,Rain,"5 mph, In From CF"
681,671,745763,New York Yankees,Miami Marlins,Marcus Stroman,Ryan Weathers,5,2,4.31,74.0,81.0,113.0,60.0,1.88,1.468,3.63,35.0,39.0,80.0,24.0,3.33,1.177,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,57.0,Overcast,"10 mph, In From LF"
682,672,746980,Boston Red Sox,Baltimore Orioles,Kutter Crawford,Cole Irvin,7,5,4.36,89.0,97.0,175.0,51.0,3.43,1.122,5.11,63.0,71.0,78.0,29.0,2.69,1.45,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,59.0,Partly Cloudy,"4 mph, Out To LF"
683,673,746323,Kansas City Royals,Houston Astros,Seth Lugo,Spencer Arrighetti,2,11,3.0,69.0,75.0,181.0,48.0,3.77,1.089,4.53,73.0,80.0,171.0,65.0,2.63,1.407,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,63.0,Cloudy,"7 mph, L To R"
684,674,745024,Texas Rangers,Oakland Athletics,Cody Bradford,Ross Stripling,2,6,3.54,30.0,32.0,70.0,13.0,5.38,1.009,6.01,57.0,65.0,49.0,22.0,2.23,1.535,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.301,0.393,196.0,3.97,493.0,1502.0,11.0,74.0,Roof Closed,"0 mph, None"
685,675,747139,Atlanta Braves,New York Mets,Allan Winans,Jose Quintana,0,0,15.26,13.0,14.0,4.0,4.0,1.0,2.348,3.75,71.0,73.0,135.0,63.0,2.14,1.25,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,73.0,Overcast,"4 mph, R To L"
686,675,747139,Atlanta Braves,New York Mets,Allan Winans,Jose Quintana,0,0,15.26,13.0,14.0,4.0,4.0,1.0,2.348,3.75,71.0,73.0,135.0,63.0,2.14,1.25,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,73.0,Overcast,"4 mph, R To L"
687,675,747139,Atlanta Braves,New York Mets,Allan Winans,Jose Quintana,0,0,15.26,13.0,14.0,4.0,4.0,1.0,2.348,3.75,71.0,73.0,135.0,63.0,2.14,1.25,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,73.0,Overcast,"4 mph, R To L"
688,676,747137,Atlanta Braves,New York Mets,Allan Winans,Jose Quintana,16,4,15.26,13.0,14.0,4.0,4.0,1.0,2.348,3.75,71.0,73.0,135.0,63.0,2.14,1.25,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,72.0,Partly Cloudy,"15 mph, R To L"
689,677,746322,Kansas City Royals,Houston Astros,Brady Singer,Hunter Brown,3,13,3.71,74.0,77.0,170.0,54.0,3.15,1.275,3.49,66.0,71.0,179.0,60.0,2.98,1.271,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,61.0,Sunny,"23 mph, L To R"
690,678,745029,Texas Rangers,Oakland Athletics,Jon Gray,JP Sears,1,0,4.47,51.0,54.0,86.0,28.0,3.07,1.315,4.38,88.0,93.0,137.0,49.0,2.8,1.223,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.301,0.393,196.0,3.97,493.0,1502.0,11.0,74.0,Roof Closed,"0 mph, None"
691,679,745601,Philadelphia Phillies,Pittsburgh Pirates,Ranger Suárez,Jared Jones,1,5,3.46,58.0,63.0,145.0,41.0,3.54,1.201,4.14,56.0,60.0,132.0,39.0,3.38,1.192,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,64.0,Cloudy,"14 mph, Out To LF"
692,680,746977,Boston Red Sox,Baltimore Orioles,Garrett Whitlock,Grayson Rodriguez,9,4,1.96,4.0,4.0,17.0,7.0,2.43,1.145,3.86,50.0,52.0,130.0,36.0,3.61,1.243,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,50.0,Cloudy,"1 mph, R To L"
693,681,746490,Detroit Tigers,Minnesota Twins,Tarik Skubal,Pablo López,0,0,2.39,51.0,54.0,228.0,35.0,6.51,0.922,4.08,84.0,90.0,198.0,41.0,4.83,1.192,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,64.0,Clear,"15 mph, Out To LF"
694,681,746490,Detroit Tigers,Minnesota Twins,Tarik Skubal,Pablo López,0,0,2.39,51.0,54.0,228.0,35.0,6.51,0.922,4.08,84.0,90.0,198.0,41.0,4.83,1.192,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,64.0,Clear,"15 mph, Out To LF"
695,682,746730,Cincinnati Reds,Milwaukee Brewers,Nick Martinez,Freddy Peralta,0,0,3.1,49.0,56.0,116.0,18.0,6.44,1.026,3.68,71.0,74.0,200.0,68.0,2.94,1.215,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,92.0,Sunny,"5 mph, Varies"
696,682,746730,Cincinnati Reds,Milwaukee Brewers,Nick Martinez,Freddy Peralta,0,0,3.1,49.0,56.0,116.0,18.0,6.44,1.026,3.68,71.0,74.0,200.0,68.0,2.94,1.215,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,92.0,Sunny,"5 mph, Varies"
697,683,746491,Detroit Tigers,Minnesota Twins,Tarik Skubal,Pablo López,2,8,2.39,51.0,54.0,228.0,35.0,6.51,0.922,4.08,84.0,90.0,198.0,41.0,4.83,1.192,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,50.0,Cloudy,"22 mph, Out To LF"
698,684,745596,Philadelphia Phillies,Pittsburgh Pirates,Cristopher Sánchez,Bailey Falter,5,2,3.32,67.0,76.0,153.0,44.0,3.48,1.244,4.43,70.0,72.0,97.0,45.0,2.16,1.286,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,64.0,Cloudy,"20 mph, Out To RF"
699,685,745112,Tampa Bay Rays,San Francisco Giants,Jacob Waguespack,Keaton Winn,1,2,5.4,6.0,7.0,11.0,10.0,1.1,2.3,7.16,44.0,44.0,48.0,20.0,2.4,1.373,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,72.0,Dome,"0 mph, None"
700,686,747055,Baltimore Orioles,Milwaukee Brewers,Tyler Wells,Freddy Peralta,11,1,5.87,10.0,11.0,13.0,3.0,4.33,1.37,3.68,71.0,74.0,200.0,68.0,2.94,1.215,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,62.0,Cloudy,"13 mph, Out To RF"
701,687,744954,Toronto Blue Jays,Colorado Rockies,Kevin Gausman,Ryan Feltner,12,4,3.83,77.0,86.0,162.0,56.0,2.89,1.221,4.49,81.0,94.0,138.0,52.0,2.65,1.337,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,68.0,Roof Closed,"0 mph, None"
702,688,746978,Boston Red Sox,Los Angeles Angels,Tanner Houck,Reid Detmers,7,0,3.12,62.0,75.0,154.0,48.0,3.21,1.142,6.7,65.0,67.0,109.0,38.0,2.87,1.557,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,54.0,Partly Cloudy,"9 mph, Out To LF"
703,689,745838,New York Mets,Kansas City Royals,Luis Severino,Michael Wacha,1,6,3.91,79.0,86.0,161.0,60.0,2.68,1.242,3.35,62.0,65.0,145.0,45.0,3.22,1.194,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,60.0,Partly Cloudy,"13 mph, Out To CF"
704,690,746084,Miami Marlins,Atlanta Braves,Trevor Rogers,Max Fried,8,1,4.92,68.0,74.0,97.0,56.0,1.73,1.576,3.25,63.0,71.0,166.0,57.0,2.91,1.164,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,77.0,Clear,"9 mph, In From LF"
705,691,746812,Chicago White Sox,Cincinnati Reds,Chris Flexen,Andrew Abbott,11,1,4.95,88.0,95.0,123.0,63.0,1.95,1.519,3.72,57.0,60.0,114.0,52.0,2.19,1.297,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,54.0,Cloudy,"11 mph, Out To RF"
706,692,746408,Houston Astros,Texas Rangers,J.P. France,Dane Dunning,12,8,7.46,21.0,21.0,22.0,12.0,1.83,1.697,5.31,56.0,60.0,91.0,40.0,2.28,1.442,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,73.0,Roof Closed,"0 mph, None"
707,693,745679,Oakland Athletics,Washington Nationals,Paul Blackburn,Jake Irvin,1,2,4.66,39.0,41.0,59.0,21.0,2.81,1.288,4.41,92.0,97.0,156.0,52.0,3.0,1.199,0.301,0.393,196.0,3.97,493.0,1502.0,11.0,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,60.0,Cloudy,"17 mph, Out To RF"
708,694,745274,Seattle Mariners,Chicago Cubs,Bryce Miller,Jordan Wicks,2,4,2.94,59.0,62.0,171.0,45.0,3.8,0.976,5.48,28.0,31.0,42.0,20.0,2.1,1.63,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,53.0,Clear,"4 mph, In From LF"
709,695,747217,Arizona Diamondbacks,St. Louis Cardinals,Brandon Pfaadt,Steven Matz,9,6,4.71,95.0,103.0,185.0,42.0,4.4,1.239,5.08,25.0,28.0,33.0,15.0,2.2,1.444,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,86.0,Clear,"14 mph, Varies"
710,696,746162,Los Angeles Dodgers,San Diego Padres,Yoshinobu Yamamoto,Michael King,8,7,3.0,30.0,32.0,105.0,22.0,4.77,1.111,2.95,57.0,71.0,201.0,63.0,3.19,1.192,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,59.0,Overcast,"7 mph, Out To LF"
